========================================
 WEAVER ENGINE: 8-NODE DEEP HISTORY 
========================================
Enter Node ID (0-7): 
> [SYSTEM] Node 3 bound to :50003. Meshing topology...
[SYSTEM] Topology Locked. Entering FSM loop.
[HEARTBEAT] SimTick: 4204 | NetHead: 4203 | Confirmed: 4058 | Missing: 146 | StateHash: 0xF188746A
[HEARTBEAT] SimTick: 4264 | NetHead: 4263 | Confirmed: 4119 | Missing: 145 | StateHash: 0xED82A89E
[HEARTBEAT] SimTick: 4324 | NetHead: 4323 | Confirmed: 4181 | Missing: 143 | StateHash: 0x31082303
[HEARTBEAT] SimTick: 4384 | NetHead: 4383 | Confirmed: 4243 | Missing: 141 | StateHash: 0xFB02846B
[HEARTBEAT] SimTick: 4444 | NetHead: 4443 | Confirmed: 4302 | Missing: 142 | StateHash: 0x82901293
[HEARTBEAT] SimTick: 4504 | NetHead: 4503 | Confirmed: 4359 | Missing: 145 | StateHash: 0xE0A57253
[HEARTBEAT] SimTick: 4565 | NetHead: 4564 | Confirmed: 4428 | Missing: 137 | StateHash: 0xE32F3BF3
[HEARTBEAT] SimTick: 4625 | NetHead: 4624 | Confirmed: 4481 | Missing: 144 | StateHash: 0x8FEAD3F3
[HEARTBEAT] SimTick: 4685 | NetHead: 4684 | Confirmed: 4531 | Missing: 154 | StateHash: 0x8111F713
[HEARTBEAT] SimTick: 4745 | NetHead: 4744 | Confirmed: 4606 | Missing: 139 | StateHash: 0xDF9AEF15
[HEARTBEAT] SimTick: 4805 | NetHead: 4804 | Confirmed: 4663 | Missing: 142 | StateHash: 0x0CC4B683
[HEARTBEAT] SimTick: 4865 | NetHead: 4864 | Confirmed: 4722 | Missing: 143 | StateHash: 0xBC392503
[HEARTBEAT] SimTick: 4925 | NetHead: 4924 | Confirmed: 4785 | Missing: 140 | StateHash: 0xE4D41293
[HEARTBEAT] SimTick: 4985 | NetHead: 4984 | Confirmed: 4840 | Missing: 145 | StateHash: 0x7A59CBEB
[HEARTBEAT] SimTick: 5045 | NetHead: 5044 | Confirmed: 4897 | Missing: 148 | StateHash: 0x5D99D613
[HEARTBEAT] SimTick: 5105 | NetHead: 5104 | Confirmed: 4966 | Missing: 139 | StateHash: 0xA381B713
[HEARTBEAT] SimTick: 5165 | NetHead: 5164 | Confirmed: 5026 | Missing: 139 | StateHash: 0x4AA258F3
[HEARTBEAT] SimTick: 5225 | NetHead: 5224 | Confirmed: 5084 | Missing: 141 | StateHash: 0x46AEBBA3
[HEARTBEAT] SimTick: 5285 | NetHead: 5284 | Confirmed: 5144 | Missing: 141 | StateHash: 0x19BC5093
[HEARTBEAT] SimTick: 5345 | NetHead: 5344 | Confirmed: 5197 | Missing: 148 | StateHash: 0x7BEBDA23
[HEARTBEAT] SimTick: 5405 | NetHead: 5404 | Confirmed: 5262 | Missing: 143 | StateHash: 0xA175CB57
[HEARTBEAT] SimTick: 5465 | NetHead: 5464 | Confirmed: 5323 | Missing: 142 | StateHash: 0xE2B334FB
[HEARTBEAT] SimTick: 5525 | NetHead: 5524 | Confirmed: 5385 | Missing: 140 | StateHash: 0x9B518A03
[HEARTBEAT] SimTick: 5585 | NetHead: 5584 | Confirmed: 5444 | Missing: 141 | StateHash: 0x953FAE93
[HEARTBEAT] SimTick: 5645 | NetHead: 5644 | Confirmed: 5502 | Missing: 143 | StateHash: 0x3403CD53
[HEARTBEAT] SimTick: 5705 | NetHead: 5704 | Confirmed: 5559 | Missing: 146 | StateHash: 0x23CDDCC3
[HEARTBEAT] SimTick: 5765 | NetHead: 5764 | Confirmed: 5626 | Missing: 139 | StateHash: 0x5477F583
[HEARTBEAT] SimTick: 5826 | NetHead: 5825 | Confirmed: 5686 | Missing: 140 | StateHash: 0x0A85DE33
[HEARTBEAT] SimTick: 5886 | NetHead: 5885 | Confirmed: 5746 | Missing: 140 | StateHash: 0x8CCEFC33
[HEARTBEAT] SimTick: 5946 | NetHead: 5945 | Confirmed: 5804 | Missing: 142 | StateHash: 0xB1E8D18B
[HEARTBEAT] SimTick: 6006 | NetHead: 6005 | Confirmed: 5867 | Missing: 139 | StateHash: 0x96852613
[HEARTBEAT] SimTick: 6066 | NetHead: 6065 | Confirmed: 5927 | Missing: 139 | StateHash: 0xD4E97B53
[HEARTBEAT] SimTick: 6126 | NetHead: 6125 | Confirmed: 5985 | Missing: 141 | StateHash: 0xCC893C33
[HEARTBEAT] SimTick: 6186 | NetHead: 6185 | Confirmed: 6046 | Missing: 140 | StateHash: 0xDFC64893
[HEARTBEAT] SimTick: 6246 | NetHead: 6245 | Confirmed: 6099 | Missing: 147 | StateHash: 0x78FC6033
[HEARTBEAT] SimTick: 6306 | NetHead: 6305 | Confirmed: 6157 | Missing: 149 | StateHash: 0xDDED05E8
[HEARTBEAT] SimTick: 6366 | NetHead: 6365 | Confirmed: 6226 | Missing: 140 | StateHash: 0xC4FD86A3
[HEARTBEAT] SimTick: 6426 | NetHead: 6425 | Confirmed: 6279 | Missing: 147 | StateHash: 0x6E53C7C3
[HEARTBEAT] SimTick: 6486 | NetHead: 6485 | Confirmed: 6349 | Missing: 137 | StateHash: 0xD8BF9583
[HEARTBEAT] SimTick: 6546 | NetHead: 6545 | Confirmed: 6404 | Missing: 142 | StateHash: 0x28514143
[HEARTBEAT] SimTick: 6606 | NetHead: 6605 | Confirmed: 6456 | Missing: 150 | StateHash: 0x185E3083
[HEARTBEAT] SimTick: 6666 | NetHead: 6665 | Confirmed: 6526 | Missing: 140 | StateHash: 0xBAE2D2B3
[HEARTBEAT] SimTick: 6727 | NetHead: 6726 | Confirmed: 6585 | Missing: 142 | StateHash: 0x18571BA3
[HEARTBEAT] SimTick: 6787 | NetHead: 6786 | Confirmed: 6647 | Missing: 140 | StateHash: 0x1F77B6DC
